id,name,address,description,latitud,longitud,amenities
Demo stolper,Plug - Skolten DEMO ,,"Plugs demoladere til bruk på festivaler og arrangement
Type 2 mode 3
CCS 2 mode 4",60.40147,5.31145,"['RESTROOM', 'CAFE']"
B8JEH7V45X2IO,Plug - Storebø Brygge Gjestehavn,Prestaneset 60,,60.09527,5.2171,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'BAR', 'CAFE']"
B9P5AQ2BQRZ0G,PostNord Alta,Blåskjellveien 11,,69.97973,23.3352,[]
B99S2AMNLWH6O,PostNord Tana Bru,Deatnodearbmi 24,Lading for PostNord Tana.,70.20287,28.18276,['TRUCK']
B8JB0CJHNELMO,Privat - Brim Explorer,Aker Brygge,Ladere kun for MS Brisen,59.910456,10.733017,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'BAR', 'WIFI', 'CAFE']"
B9CG9OLP2ZLZ4,Raglamyrsenteret, Longhammarvegen 6,,59.395971,5.32449,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE']"
Ramsele,Ramsele,Storgatan 7,ICA Nära Ramsele,63.539118,16.469609,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B8Z945M7MCMPS,Reine,Reineveien 111,"Åpningstider og priser
Døgnåpen parkeringsplass. Kun for personbil og MC, ingen bobiler. 24hour parking for cars and motorcycle only. No mobile homes.

Alle dager 

5 min gratis 

Kr. 20,- per påbegynte halvtime
Makspris kr. 500,- per dag",67.93493,13.08915,"['RESTROOM', 'RESTAURANT', 'CAFE']"
Andenes,Rema 1000 Andenes,Industriveien 7,,69.309861,16.100473,"['RESTROOM', 'SHOPPING', 'TRUCK']"
Averøy,Rema 1000 Averøy,Næringsveien 22,Røsand Industriområde,63.068046,7.64769,"['RESTROOM', 'SHOPPING']"
Brandbu,Rema 1000 Brandbu,Storlinna 125,,60.407108,10.533115,"['RESTROOM', 'SHOPPING']"
Digernes,Rema 1000 Digernes,Digerneset Næringspark,,62.491935,6.605186,"['RESTROOM', 'SHOPPING']"
Dokka,Rema 1000 Dokka,Storgata 52,,60.836934,10.069969,"['RESTROOM', 'SHOPPING']"
Elnesvågen,Rema 1000 Elnesvågen,Torget 17,,62.854265,7.165375,"['RESTROOM', 'SHOPPING', 'CAFE']"
Elverum,Rema 1000 Elverum,Søbakkvegen 115,,60.895925,11.582988,['SHOPPING']
Florø,"Rema 1000 Evja, Florø",Seljetun 3,,61.598975,5.047653,"['RESTROOM', 'SHOPPING']"
Fitjar,Rema 1000 Fitjar,Fitjarsjøen 73,,59.919904,5.326249,['SHOPPING']
Fjøsanger,Rema 1000 Fjøsanger,Straumeveien 3,,60.34766,5.335595,"['RESTROOM', 'SHOPPING', 'TRUCK']"
Flisnes,Rema 1000 Flisnes,Langrabben 12,,62.43239,6.41347,"['RESTROOM', 'SHOPPING', 'CAFE']"
Førde Rema,Rema 1000 Førde,Hafstadreina 4,,61.449463,5.872153,['SHOPPING']
Giske,Rema 1000 Giske,Valderøyvegen 1166,,62.529111,6.116402,"['RESTROOM', 'SHOPPING']"
Gol,Rema 1000 Gol,Sentrumsvegen 35,,60.701757,8.962077,"['RESTROOM', 'SHOPPING']"
Heistad,Rema 1000 Heistad,Pans veg 2,,59.075908,9.683344,"['RESTROOM', 'SHOPPING']"
Holmestrand,Rema 1000 Holmestrand,Våleveien 1,,59.474957,10.317436,"['RESTROOM', 'SHOPPING']"
B8F1DC4QC2328,Rema 1000 Hunndalen,Cellulosevegen 2  ,,60.783912,10.645474,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
Husnes,Rema 1000 Husnes,Opsangervegen 4,,59.862958,5.75862,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
BA0UAJ2Y1LZI8,Rema 1000 Hønengata,Hønengata 18A,Parkeringsplassen til Rema 1000 Hønengata,60.172857,10.261624,['SHOPPING']
Juvik,Rema 1000 Juvikflaten,Juvikflaten 2,,60.427938,5.193166,['SHOPPING']
Kuven,Rema 1000 Kuven Stasjon,Byvegen 85,,60.192921,5.464906,"['RESTROOM', 'SHOPPING']"
Lampeland,Rema 1000 Lampeland,Lyngdalsveien 2,,59.835106,9.579756,"['RESTROOM', 'SHOPPING']"
Leira,Rema 1000 Leira,Skulevegen 7,,60.970911,9.291382,"['RESTROOM', 'SHOPPING']"
Leirvik,"Rema 1000 Leirvik, Stord",Vabakkjen 4,,59.77427,5.48579,"['RESTROOM', 'SHOPPING']"
Leknes,Rema 1000 Leknes,Idrettsgata 61,,68.145108,13.620555,"['RESTROOM', 'SHOPPING']"
Manger,Rema 1000 Manger,Radøyvegen 1675,,60.641092,5.043351,"['RESTROOM', 'SHOPPING']"
Palmafossen,"Rema 1000 Palmafossen, Voss",Tjukkebygdsvegen 7,,60.635992,6.466805,"['RESTROOM', 'SHOPPING']"
Straume,Rema 1000 Sartorparken,Gjertrudvegen 4,,60.358624,5.12215,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Seljord,Rema 1000 Seljord,Steinsrudvegen 2,,59.480499,8.631242,"['RESTROOM', 'SHOPPING']"
B8I047Z49DQF4,Rema 1000 Skreia,Jerikovegen 5,,60.654149,10.934242,"['RESTROOM', 'SHOPPING', 'CAR_TRAILER']"
Sortland,Rema 1000 Sortland,Vesterålsgata 24,,68.707784,15.41346,"['RESTROOM', 'SHOPPING', 'CAR_TRAILER']"
Stavern,Rema 1000 Stavern,Holmejordetveien 31,,59.016249,10.020309,"['RESTROOM', 'SHOPPING', 'CAR_TRAILER']"
Nordfjordeid,"Rema 1000 Stokkenes, Nordfjordeid",Uldegrova 2,,61.909807,6.00345,"['RESTROOM', 'SHOPPING']"
Svarstad,Rema 1000 Svarstad,Lågaveien 14,,59.401481,9.95717,"['RESTROOM', 'SHOPPING']"
Soreide,Rema 1000 Søreide,Dolvikbakken 4,,60.306009,5.26914,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
Odda_Sorfjord,"Rema 1000 Sørfjordsenteret, Odda",Eitrheimsvegen 32,,60.070644,6.541641,"['RESTROOM', 'SHOPPING', 'CAFE']"
Tjøme,Rema 1000 Tjøme,Haugsveien 5,,59.12115,10.400164,"['RESTROOM', 'SHOPPING']"
Ulsteinvik,Rema 1000 Ulsteinvik,Glopen 1,,62.337639,5.852933,"['RESTROOM', 'SHOPPING']"
Åndalsnes Rema,Rema 1000 Åndalsnes,Øran Vest,,62.559307,7.681561,"['RESTROOM', 'SHOPPING']"
Ørsta,Rema 1000 Ørsta,Melsvegen 1,,62.192799,6.124499,"['RESTROOM', 'SHOPPING']"
Osteroyveien,Rema 1000 Østerøyveien,Østerøyveien 2,,59.133879,10.250712,"['RESTROOM', 'SHOPPING', 'CAR_TRAILER']"
Risøyhamn,Risøyhamn,Risøyhamn ,,68.974689,15.642796,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
B7ZZ5E8EETQ80,Rjukan,Månaveien 11,,59.878995,8.597451,"['RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
Roknas,Roknäs,G:a Sjulsnäsvägen 57,ICA Nära Sigvards,65.339499,21.229577,"['RESTROOM', 'SHOPPING', 'CAFE']"
Romarheim,Romarheim,Romarheim kryss E39,,60.73982,5.633132,"['BAR', 'CAR_TRAILER']"
B8D9EBULBUTJ4,Ronneby,Karlshamnsvägen 8,ICA Maxi Ronneby,56.21418,15.27219,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Rortunet,Rortunet Senter,Kirkealleen 1 ,"Lynladere er plassert innendørs i P-hus 1. etasje. AC-ladere i 1., 3. og 4. etasje.",59.777098,10.48482,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Rudshogda,Rudshøgda,Rudsvegen 5,Ved Frich's Motell og Spiseri,60.911923,10.813193,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'CAFE', 'CAR_TRAILER']"
Rykinn,Rykkinn Senter,Munins vei 1,AC ladere i innendørs P-hus,59.924486,10.486942,"['RESTROOM', 'SHOPPING', 'CAFE']"
Rysstad,Rysstad,Stovegen,,59.095878,7.53187,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'CAFE']"
BAV5SGI5AZKE8,Sala,Berggatan 13,"ICA Kvantum Åkrahallen
",59.922499,16.585968,"['RESTROOM', 'SHOPPING', 'WIFI', 'CAFE']"
Sandane,Sandane,Krånavegen 5,,61.778031,6.213294,"['RESTROOM', 'SHOPPING', 'WIFI', 'CAFE']"
Sauda2,Sauda,Kyrkjegata 10,,59.651068,6.352346,"['RESTAURANT', 'SHOPPING']"
B9BXU5OHTQRR4,Shell Bygland,Sentrum 2,,58.831158,7.794987,"['RESTROOM', 'REST_STOP', 'TRUCK', 'CAFE']"
BAAXEIKVIFGN4,Simhallen - Lidingö,Brostugevägen 4,,59.345191,18.152754,[]
B8Q8HU3KA4F7K,Simrishamn,Kristianstadsvägen 4,ICA Supermarket Simrishamn,55.557697,14.346142,"['RESTROOM', 'SHOPPING', 'CAFE']"
BAOIX742A4Q9S,Sirdal Handleriet,Sirdalsveien 7452,,58.920539,6.894394,[]
Sistranda,Sistranda,Sørveien 17B,Kysthaven Parkering,63.728632,8.828714,"['RESTROOM', 'SHOPPING', 'CAFE']"
BAQW4PYXHVXFK,Sjöbo,Solviksgatan 4,,55.634934,13.67932,['RESTROOM']
B9JZJPQMDM6M8,Sjøsiden Horten,Teatergata 6,,59.414321,10.486641,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE']"
Sjosiden,"Sjøsiden Senter, Mosjøen",Smågan 2,Ladere er plassert innendørs i P-hus,65.83997,13.19277,[]
B8I00VZRW7U2O,Skanör,Södergatan 12,ICA Supermarket,55.412065,12.843359,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Skedsmo,Skedsmo Senter,Furuholtet 1,Hurtigladestasjon utendørs på venstre side av nedkjøring til P-hus. Normalladere utendørs ved inngangen på baksiden av senteret og innendørs i P-hus.,60.000913,11.038892,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8TLXUKC8AHOG,Skellefteå,Kronbodgatan 4,ICA Kvantum Skellefteå,64.75575,20.91826,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE', 'CAR_TRAILER']"
BA8KBJ3PWI29S,Skene,Klevagårdsgatan 3,"ICA Kvantum MM, Skene",57.496972,12.670356,"['RESTROOM', 'CAR_TRAILER']"
B95EAK6UJ3D34,Skiftinge - Eskilstuna,Karl Hovbergsgatan 32,ICA Maxi Eskilstuna,59.388737,16.532159,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Skjold_Brl,Skjold Borettslag,Mårdalen 5,Ladestasjonen er tilgjengelig for alle,60.30719,5.341805,[]
B8V5CGVVK0SG0,Skogvatnet E10 ,E10 1358,,68.490297,17.97914,"['REST_STOP', 'TRUCK', 'CAR_TRAILER']"
B8R51SF509JPC,Skrea Strand - Falkenberg,Ljungholmsvägen 20,ICA Supermarket Skrea Strand,56.886774,12.510782,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B8X3RPXB8RGG0,Skt. Jacobi Skole,Pramstedvej 10C,,55.618484,8.472861,[]
B8D9D2350PCLC,Skurup,Korrehusgatan 1,ICA Supermarket Skurup,55.490017,13.486919,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B8I034HWFNSOW,Snertingdal,Snertingdalsvegen 1722,,60.880489,10.387325,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
Sogndal,Sogndal Sjøkanten,Stedjevegen 38,,61.226518,7.101853,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Sollefteå,Sollefteå,Hågesta 227,ICA Kvantum Sollefteå,63.161804,17.288747,"['RESTROOM', 'SHOPPING', 'CAFE']"
Solsiden,Solsiden Senter,Beddingen 10,Ladere i underetasje av p-hus. Innkjøring fra Trenerys gate.,63.43529,10.414552,"['RESTROOM', 'SHOPPING', 'CAFE']"
BAIZ7U5Y321OG,Sonthofen,Rudolf-Diesel-Straße 7,,47.522001,10.270054,"['SHOPPING', 'CAR_TRAILER']"
B8KPHVBVZ3OXS,Spar Fyresdal, Folkestadgata 3,,59.185083,8.090541,[]
Haukeli,Spar Haukeli,Storegutvegen 250,,59.737259,7.565509,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Jondal,Spar Jondal,Belsnesvegen 5,,60.275577,6.252919,"['RESTROOM', 'ACCOMMODATION', 'SHOPPING']"
Jølstraholmen,Spar Jølstraholmen,Jølstravegen 705,,61.4881,6.08122,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Mongstad,Spar Mongstad,Mongstadvegen 1020,,60.797527,5.010914,"['RESTROOM', 'SHOPPING']"
BAB589T1YKV0G,Spar Norheimsund,Grova 1,,60.372209,6.142258,"['RESTROOM', 'SHOPPING']"
B7YPA72JR5HQ8,Spar Rauland,Juvlandsveien 2,,59.695982,8.066953,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
Rosendal,Spar Rosendal,Skålagato 36,,59.986013,6.009139,"['RESTROOM', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B963PZV0MR9Q8,Stenby - Eskilstuna,Stenbygatan 2,ICA Supermarket,59.356781,16.476224,"['RESTROOM', 'SHOPPING', 'CAFE']"
BA5OKUWUGA1VK,Stenhagen - Uppsala,Fyrisparksvägen 1,ICA MAXI Stenhagen,59.850044,17.55981,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
BAD3Z6CJVS4CG,Stenungstorg,Östra Köpmansgatan 6,"Norra parkeringsytan
Vissa laddare ur funktion på grund av skadegörelse. Vi uppskattar de som hört av sig till vår kundtjänst. ",58.06942,11.818591,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'BAR', 'CAFE', 'CAR_TRAILER']"
Stokmarknes,Stokmarknes,Havnegata,Parkeringsplass ved Elkjøp.,68.565804,14.914888,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Stopp Senter,"Stopp Tune Senter, Sarpsborg",Lilletuneveien 2,,59.287192,11.086506,"['RESTROOM', 'SHOPPING', 'CAFE']"
Storbyen,"Storbyen Senter, Sarpsborg",Roald Amundsens gate 36,"Hurtigladere plassert i p-hus, åpent 09-20. Normalladere (SB5-SB11) er døgnåpne og plassert i nedre parkeringshus.",59.282784,11.107131,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8P21QIH5PO8W,Storhaug,Saudagata 47,,58.967757,5.743037,[]
Stortorvet,"Stortorvet Senter, Kongsberg",Karsches gate 3,Ladere plassert ved Esso. Innkjøring fra Stasjonsbakken,59.668261,9.652725,"['RESTROOM', 'SHOPPING', 'CAFE']"
Stovner,Stovner Senter,Stovner Senter 3,Hurtigladere P-hus Plan 1. AC-ladere Plan 3 er nå tilgjengelig for alle. ,59.960243,10.925184,"['RESTROOM', 'SHOPPING', 'CAFE']"
Stranda,Stranda,Øyna 10,,62.307454,6.945529,"['RESTROOM', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
Strandtorget,"Strandtorget Senter, Lillehammer",Strandpromenaden 85,,61.114455,10.447287,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B9FBTLFIMY8ZK,Studentbacken - Stockholm,Studentbacken,,59.348486,18.095508,[]
Suldal,Suldalsosen,Suldalsvegen 1621,,59.491475,6.51481,[]
BAAYKM48RWF7K,Sulingen P&R,Am Bahnhof,,52.686157,8.813105,"['RESTROOM', 'SHOPPING', 'CAR_TRAILER']"
Svelgen,Svelgen,Gunnar Scheldrups veg 11,Ladestasjon ved Bakarhuset.,61.768414,5.292107,"['ACCOMMODATION', 'SHOPPING', 'CAFE']"
Svinesundparken,Svinesundparken,Svinesundparken 1,,59.129498,11.274019,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'CAFE']"
B98DU8F3UFQWW,Sälen,Postvägen 2,ICA Nära Sälen,61.157613,13.264919,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'WIFI', 'CAFE', 'CAR_TRAILER']"
B8I00X35T2W3K,Sölvesborg,Järnvägsgatan 5,ICA Supermarket,56.049016,14.581906,"['RESTROOM', 'SHOPPING', 'CAFE']"
BATREE28WZ7CW,Söråker,Folketshusvägen,ICA Nära Söråker,62.50602,17.50785,"['RESTROOM', 'SHOPPING', 'WIFI']"
Tangen Senter,Tangen Senter,Vestveien 51,,59.856422,10.660129,"['RESTROOM', 'SHOPPING', 'CAFE']"
Tau,Tau-R13 (Handelsparken),Fiskåvegen 2,,59.065046,5.92092,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Busstasjonen,Taxi - Bystasjonen,Lungegårdskaien,Ladestasjon kun for Taxi. Charging station for Taxi only.,60.387796,5.33508,"['RESTROOM', 'SHOPPING', 'CAFE']"
Flesland,Taxi - Flesland,Flyplassvegen 525,Ladestasjon reservert for taxi-lading,60.292779,5.227878,['RESTROOM']
B8STOTL6RYHHC,Teleborg,Framtidsvägen 5 ,ICA Kvantum,56.857692,14.822921,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Gavlen,Tessungdalen Gavlen Fjellhandel,Tessungdalen 678,Butikken er åpen 06 - 24,60.1256,8.684606,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B90QXUR79UCJK,Thorstrup Skole,Thorstrupvej 18,,55.671603,8.573352,[]
BAMCI61NJM1HC,Thurnau,Bürgermeister-Kleinlein-Straße 2,,50.023952,11.39073,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8Q8HYO0BZ56O,Tingsryd,Lokgatan 1B,Öppen kl 6 - 23,56.52503,14.973746,['RESTROOM']
B7ZZ72L4OSR28,Tinn Austbygd,Moensletta 4,,59.995276,8.824775,"['RESTROOM', 'SHOPPING', 'CAFE']"
Tista,"Tista Senter, Halden",Walkersgate 4,,59.12203,11.380788,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B9HVMDHSZGEF4,Tistrup Skole,Lærkevej 8,,55.719739,8.608156,[]
B9F7SK1HFC0E8,Tistrup Torv,Torvet 2,,55.715923,8.601492,['SHOPPING']
Tonstad,Tonstad,Tonstadveien 28,,58.664958,6.715434,"['RESTROOM', 'SHOPPING']"
BA9N1HQ7CIAYO,Tornet - Ulricehamn,Strandgatan 6,ICA Tornet Ulricehamn,57.793004,13.411275,"['RESTROOM', 'CAR_TRAILER']"
BAH67OH4FP43K,Torp - Uddevalla,Torp Köpcentrum,Torp Köpcentrum,58.352729,11.812689,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'WIFI', 'CAFE', 'CAR_TRAILER']"
B9RF7XNO0KW74,Torvet i Ølgod,Torvet 3,,55.807229,8.619467,"['RESTAURANT', 'SHOPPING', 'CAFE']"
Trekanten Asker,"Trekanten Senter, Asker",Knud Askers vei 20,,59.835779,10.434583,"['RESTROOM', 'SHOPPING', 'CAFE']"
BA8GHWVCC3VUO,Trelleborg,Strandridaregatan 10,,55.37405,13.129525,"['RESTROOM', 'CAFE']"
Trengereid,Trengereid,Trengereidsvingane 1,,60.4243,5.627312,"['RESTROOM', 'REST_STOP', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
B9JZAL75FOQO0,Treungen,Treungvegen 378,,59.018614,8.523539,['SHOPPING']
B90GAG81BW4XS,Trøjborg Centret,Otte Ruds Gade 98,,56.17224,10.212135,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Tuven,"Tuven Senter, Notodden",Tuvenbøygen 1,,59.565722,9.22369,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
B8R16JA2T8HKW,Ulricehamn,Ubbarpsvägen 2A,ICA Maxi Ulricehamn,57.813021,13.420532,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Ulvik,Ulvik,Katrinastykket,Stasjonen er flytta til krysset ved Brakanes hotell,60.567306,6.913719,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
BA04XHHAZ4I68,Undløse Skole,Øvej,,55.603139,11.583599,[]
BACF3KBOU00E8,Universitetet - Örebro,Sörbyängsvägen 24,ICA Maxi Stormarknad Universitetet,59.252125,15.232877,[]
B85IHTY7P0HZ4,Utne,Utne fergekai,,60.424261,6.621193,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Vadheim,Vadheim,St. Helenas Plass,,61.209038,5.821689,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAFE']"
Vadmyra BRL,Vadmyra - Beboer,Vestre Vadmyra,Kun for beboere i Vadmyra borettslag,60.362432,5.225897,['SHOPPING']
"Vadmyra, Vestre",Vadmyra og Vestre Hurtigladere,Vestre Vadmyra,Hurtigladestasjon tilgjengelig for alle.,60.36241,5.226247,['SHOPPING']
Valle,Valle,Nordibøvegen 143,,59.213004,7.53253,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
BA7S55XIJJV9C,Valle Esso,Nordibøvegen 138,,59.212326,7.536122,"['RESTROOM', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B8V6ZCZL80DFK,Vara,Torggatan 48,Vara Handelsområde,58.257584,12.961107,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B99RU2525F11C,VERI Center,Frijsenborgvej 5,,56.189554,10.215339,"['RESTROOM', 'SHOPPING']"
B9F8DP3KX1B7K,Vestervold,Vestervold 11E,,55.620993,8.47541,[]
Vestre BRL,Vestre - Beboer,Vestre Vadmyra,Kun for beboere i Vestre borettslag,60.36265,5.225897,['SHOPPING']
B8I00UUUMLS74,Vetlanda,Nygatan 3,ICA Maxi,57.42493,15.096341,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
BAKUQA5HQW54W,Vik i Sogn,Røysavegen 2,,61.085887,6.581076,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B8R1BLXNKOBGG,Vilhelmina,Volgsjövägen 36,ICA Vilhelmina Tallen,64.625159,16.655029,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B9D4QB5N5FG1S,Visby,Follingboväg 70,Maxi ICA Stormarknad,57.624386,18.322489,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE', 'CAR_TRAILER']"
Rotset,Volda,Rotsetstranda 8,,62.140648,6.090002,"['RESTROOM', 'SHOPPING']"
Strandavegen,Voss Strandavegen,Strandavegen 4,Gratis parkering i 3 timer for biler som lader.,60.629663,6.4252,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
Tinghusplassen,Voss Tinghusplassen,Uttrågata 7,,60.627886,6.417823,"['SHOPPING', 'CAFE']"
Våge,Våge,Hegglandsvegen 47,,60.042282,5.523375,"['RESTROOM', 'REST_STOP', 'SHOPPING']"
B8BOHKKWGXVY8,Våge fergekai,Våge kai,,60.046308,5.523868,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BA8Y5PZGO07WG,Vårgårda,Gjuterigatan 2,ICA Kvantum Vårgårda,58.039685,12.80311,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B8KL4J6RVWC1S,Värnamo,Expovägen 2,ICA Kvantum Värnamo,57.174632,14.061532,"['RESTROOM', 'SHOPPING', 'CAFE']"
B9VVDWZCTF7CW,Værstetorvet,Jens Wilhelmsens gate 7,"Kjør ned i parkeringskjeller, hold til venstre. Laderne er bak oppgang A. Lokale parkeringstariffer gjelder.",59.210006,10.930487,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B9ISZ9O1VMJNK,Wassenberg,Brabanter Str. 48,"Standort wegen technischem Defekt vorübergehend außer Betrieb. Wir informieren über die Wiederinbetriebnahme.

Site temporarily out of service due to technical issue. Updates will follow regarding reactivation.",51.101779,6.183371,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
BA63CCVLILDZ4,Werneck,Mittlerer Weg 25,,49.97929,10.09011,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
BAIZ8B2ST2NEO,Wetter ,Carl-Bönnhof-Straße 1,,51.387141,7.386206,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE']"
BAACC8T09YD4W,Wetzlar,Westendstraße 2-4,,50.549241,8.473786,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BALQFMQ4JY4U8,Wismar,Schweriner Str. 17,,53.885875,11.46199,"['RESTROOM', 'SHOPPING', 'CAFE']"
BAAYMPXA3AARK,Übach-Palenberg,Am Wasserturm 11-17,,50.924934,6.113055,"['RESTROOM', 'RESTAURANT', 'CAFE', 'CAR_TRAILER']"
B9X9GNXGPE9DS,Ystad,Almelundsvägen 4,,55.444141,13.807842,"['RESTROOM', 'CAFE', 'CAR_TRAILER']"
B9I0870R90BNK,Ytterhogdal,Ångevägen 1,ICA Nära Ytterhogdal,62.174518,14.9373,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Ågotnes,Ågotnes Torg,Skjergardsvegen 1382,,60.40359,5.000811,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8R4HQ8D4TMO0,Åkersberga Centrum,Stationsvägen 37,Åkersberga C Östra Parkeringsgaraget,59.478941,18.302919,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'WIFI', 'CAFE']"
B7ZANUOH0CPHC,Ålesund sentrum,Nedre standgate 21,Hurtiglading av bil i Ålesund Sentrum ved Plugs landstrømanlegg,62.46979,6.14823,"['REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
aalgaard,Ålgård – Coop AMFI,Olav Nielsensvei 25,,58.770747,5.845129,"['RESTROOM', 'SHOPPING', 'CAFE']"
B90K8QWS7BDHC,Åmli,Gata 5,Ladere har kun 110 kW tilgjengelig makseffekt i påvente av oppgradert trafo.,58.765094,8.48299,[]
B8X3NK6RR60OW,Årre Skole,Vardevej 1C,Parkering ved Årre Børnecenter,55.57499,8.66633,[]
asen,Åsen,Auglendsmyrå 5,,58.94462,5.7291,['SHOPPING']
B8Q8HZ5UVCV7K,Älmhult,Silverdalsgatan 3,ICA Maxi Älmhult,56.556534,14.147817,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Alvsbyn,Älvsbyn,Skolgatan 17,ICA Supermarket Älvsbyn,65.670767,21.010475,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
