id,name,address,description,latitud,longitud,amenities
Hovden,Hovden,Skisentervegen 12,"Leveransen av ny trafo er dessverre forsinket, så vi har derfor måttet redusere effekten på 360 kW-laderne midlertidig til 180 kW.",59.561348,7.35646,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B8ZUHTWWXAFWG,Hudiksvall,Blockvägen 1,"Öppet 07-23
ICA Maxi Hudiksvall",61.742808,17.116417,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE', 'CAR_TRAILER']"
Hundvåg,Hundvåg Rema 1000,Hundvågveien 44,,58.99324,5.72927,"['RESTAURANT', 'SHOPPING', 'CAFE']"
BA9JNENHUA680,Hvidbjerg Strand,Hvidbjerg Strandvej,,55.544454,8.133461,"['RESTROOM', 'REST_STOP', 'RESTAURANT']"
B8QCWPB1EVOJK,Hyllinge,Dragaregatan 2,ICA Maxi. Laddplatsen öppen 05.00-22.30,56.1009,12.857361,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Hægeland,Hægeland,Hægelandssletta 12,,58.383889,7.739619,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'CAFE']"
B96OW4VQZ0GSG,Höga Kusten Hotell,"Hornöberget, ",,62.804153,17.951902,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
B9GLIPAV59WXS,Höganäs,Lexikonvägen 1,ICA Kvantum,56.191697,12.565696,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAZC3LPK3D8N4,Høvik Senter,O.H Bangs vei 1,,59.899415,10.581165,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B97RYH62GB6YO,Ingelsta - Norrköping,Blygatan 27,"ICA Maxi Norrköping
Öppet 07:00- 23:00",58.616668,16.162617,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Jernbanelokket,Jernbanelokket,Teaterveien 1,,58.965407,5.733573,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B928SP4RSBZEO,Joker Gudvangen,Nærøydalen 11,,60.879479,6.84373,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Loen,Joker Loen,Lodalsvegen 9,,61.871614,6.848517,"['RESTROOM', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
